월,날짜,내용,금액,대분류,소분류,지출방법,태그
3월,2026-03-10,⚠️확인필요,26400,⚠️확인필요,,M가족,
3월,2026-03-10,⚠️확인필요,44000,⚠️확인필요,,M가족,
3월,2026-03-11,⚠️확인필요,10000,⚠️확인필요,,M가족,
3월,2026-03-11,카페/디저트,11500,식비,카페/디저트,M가족,
3월,2026-03-11,카페/디저트,18000,식비,카페/디저트,M가족,
3월,2026-03-11,통신(브),11890,고정지출,통신(브),M본인,
3월,2026-03-12,카페/디저트,1500,식비,카페/디저트,M본인,
3월,2026-03-12,⚠️확인필요,19000,⚠️확인필요,,M가족,
3월,2026-03-12,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-13,⚠️확인필요,55300,⚠️확인필요,,M본인,
3월,2026-03-13,⚠️확인필요,34690,⚠️확인필요,,M가족,
3월,2026-03-13,식재료(온라인),60854,식비,식재료(온라인),M가족,
3월,2026-03-13,주방/욕실,54700,생활용품,주방/욕실,M본인,
3월,2026-03-14,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-14,외식(가족),3000,식비,외식(가족),M가족,
3월,2026-03-14,카페/디저트,5500,식비,카페/디저트,M가족,
3월,2026-03-14,외식(가족),12500,식비,외식(가족),M가족,
3월,2026-03-15,카페/디저트,60,식비,카페/디저트,M본인,
3월,2026-03-15,카페/디저트,60,식비,카페/디저트,M본인,
3월,2026-03-15,생필품/소모품,8500,생활용품,생필품/소모품,M본인,
3월,2026-03-15,카페/디저트,60,식비,카페/디저트,M본인,
3월,2026-03-15,카페/디저트,60,식비,카페/디저트,M본인,
3월,2026-03-16,⚠️확인필요,11000,⚠️확인필요,,M본인,
3월,2026-03-16,카페/디저트,1800,식비,카페/디저트,M본인,
3월,2026-03-17,대중교통,30000,교통비,대중교통,M가족,
3월,2026-03-17,카페/디저트,2500,식비,카페/디저트,M본인,
3월,2026-03-18,카페/디저트,16000,식비,카페/디저트,M가족,
3월,2026-03-19,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-19,식재료(오프),1400,식비,식재료(오프),M본인,
3월,2026-03-19,식재료(온라인),96260,식비,식재료(온라인),M가족,
3월,2026-03-19,인터넷(용산),36900,고정지출,인터넷(용산),M본인,
3월,2026-03-19,인터넷,23100,고정지출,인터넷,M본인,
3월,2026-03-19,통신(브),26590,고정지출,통신(브),M본인,
3월,2026-03-20,⚠️확인필요,12600,⚠️확인필요,,M가족,
3월,2026-03-20,식재료(오프),1700,식비,식재료(오프),M본인,
3월,2026-03-20,⚠️확인필요,5000,⚠️확인필요,,M본인,
3월,2026-03-20,⚠️확인필요,1600,⚠️확인필요,,M본인,
3월,2026-03-20,⚠️확인필요,6000,⚠️확인필요,,M가족,
3월,2026-03-20,외식(가족),24000,식비,외식(가족),M본인,
3월,2026-03-20,⚠️확인필요,9000,⚠️확인필요,,M가족,
3월,2026-03-20,⚠️확인필요,5900,⚠️확인필요,,M본인,
3월,2026-03-20,외식(가족),3500,식비,외식(가족),M가족,
3월,2026-03-20,식재료(오프),6000,식비,식재료(오프),M본인,
3월,2026-03-21,카페/디저트,4500,식비,카페/디저트,M가족,
3월,2026-03-21,외식(가족),14000,식비,외식(가족),M가족,
3월,2026-03-21,⚠️확인필요,113000,⚠️확인필요,,M본인,
3월,2026-03-21,⚠️확인필요,8500,⚠️확인필요,,M본인,
3월,2026-03-22,⚠️확인필요,23800,⚠️확인필요,,M가족,
3월,2026-03-23,보험(주택화재),16000,고정지출,보험(주택화재),M본인,
3월,2026-03-23,카페/디저트,2500,식비,카페/디저트,M본인,
3월,2026-03-24,생필품/소모품,3000,생활용품,생필품/소모품,M본인,
3월,2026-03-24,카페/디저트,5000,식비,카페/디저트,M본인,
3월,2026-03-24,카페/디저트,1700,식비,카페/디저트,M본인,
3월,2026-03-24,멤버십,4900,구독,멤버십,M가족,
3월,2026-03-24,카페/디저트,4300,식비,카페/디저트,M본인,
3월,2026-03-24,⚠️확인필요,3000,⚠️확인필요,,M본인,
3월,2026-03-24,카페/디저트,7300,식비,카페/디저트,M본인,
3월,2026-03-25,카페/디저트,6200,식비,카페/디저트,M본인,
3월,2026-03-26,병원,12100,건강,병원,M본인,
3월,2026-03-26,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-26,병원,11400,건강,병원,M본인,
3월,2026-03-26,⚠️확인필요,1600,⚠️확인필요,,M본인,
3월,2026-03-26,외식(가족),40000,식비,외식(가족),M본인,
3월,2026-03-26,⚠️확인필요,11000,⚠️확인필요,,M가족,
3월,2026-03-26,⚠️확인필요,1100,⚠️확인필요,,M본인,
3월,2026-03-27,주차비,1350,자동차,주차비,M본인,
3월,2026-03-27,주차비,1350,자동차,주차비,M본인,
3월,2026-03-27,식재료(오프),1250,식비,식재료(오프),M본인,
3월,2026-03-27,식재료(오프),7000,식비,식재료(오프),M본인,
3월,2026-03-27,식재료(오프),4800,식비,식재료(오프),M가족,
3월,2026-03-27,⚠️확인필요,59240,⚠️확인필요,,M가족,
3월,2026-03-28,주차비,1350,자동차,주차비,M본인,
3월,2026-03-28,카페/디저트,2100,식비,카페/디저트,M본인,
3월,2026-03-28,⚠️확인필요,27000,⚠️확인필요,,M가족,
3월,2026-03-28,⚠️확인필요,5000,⚠️확인필요,,M가족,
3월,2026-03-28,⚠️확인필요,6100,⚠️확인필요,,M가족,
3월,2026-03-28,⚠️확인필요,2900,⚠️확인필요,,M가족,
3월,2026-03-28,식재료(오프),2500,식비,식재료(오프),M본인,
3월,2026-03-29,병원,9000,건강,병원,M본인,
3월,2026-03-29,식재료(온라인),68640,식비,식재료(온라인),M가족,
3월,2026-03-30,대중교통,30000,교통비,대중교통,M가족,
3월,2026-03-30,앱/소프트웨어,4900,구독,앱/소프트웨어,M가족,
3월,2026-03-31,카페/디저트,4500,식비,카페/디저트,M본인,
3월,2026-03-31,식재료(오프),1800,식비,식재료(오프),M본인,
3월,2026-03-31,카페/디저트,700,식비,카페/디저트,M본인,
3월,2026-03-31,대중교통,1450,교통비,대중교통,M본인,
3월,2026-03-08,해외구독,44110,구독,해외구독,M본인,
3월,2026-03-10,⚠️확인필요,30118,⚠️확인필요,,M본인,
3월,2026-03-19,⚠️확인필요,30667,⚠️확인필요,,M가족,
4월,2026-04-01,구독(Adobe),19000,고정지출,구독(Adobe),M가족,
4월,2026-04-01,외식(가족),35000,식비,외식(가족),M본인,
4월,2026-04-01,뷰티,15200,의복/미용,뷰티,M가족,
4월,2026-04-01,카페/디저트,8800,식비,카페/디저트,M가족,
4월,2026-04-01,주차비,9000,교통비,주차비,M본인,
4월,2026-04-01,뷰티,13300,의복/미용,뷰티,M가족,
4월,2026-04-02,주차비,1350,자동차,주차비,M본인,
4월,2026-04-02,식재료(오프),16000,식비,식재료(오프),M가족,
4월,2026-04-02,주차비,2000,교통비,주차비,M가족,
4월,2026-04-02,⚠️확인필요,492500,⚠️확인필요,,M가족,
4월,2026-04-02,카페/디저트,2500,식비,카페/디저트,M본인,
4월,2026-04-03,⚠️확인필요,34000,⚠️확인필요,,M본인,
4월,2026-04-03,식재료(오프),1400,식비,식재료(오프),M가족,
4월,2026-04-03,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-03,외식(가족),14000,식비,외식(가족),M본인,
4월,2026-04-03,외식(가족),17500,식비,외식(가족),M본인,
4월,2026-04-03,카페/디저트,1400,식비,카페/디저트,M가족,
4월,2026-04-03,생필품/소모품,10000,생활용품,생필품/소모품,M본인,
4월,2026-04-04,⚠️확인필요,10000,⚠️확인필요,,M가족,
4월,2026-04-04,외식(가족),36000,식비,외식(가족),M가족,
4월,2026-04-04,카페/디저트,5500,식비,카페/디저트,M가족,
4월,2026-04-04,식재료(온라인),96624,식비,식재료(온라인),M가족,
4월,2026-04-04,식재료(오프),2500,식비,식재료(오프),M가족,
4월,2026-04-05,⚠️확인필요,8000,⚠️확인필요,,M가족,
4월,2026-04-05,생필품/소모품,21830,생활용품,생필품/소모품,M가족,
4월,2026-04-05,선물,27500,생활용품,생필품/소모품,M가족,
4월,2026-04-05,⚠️확인필요,30615,⚠️확인필요,,M가족,
4월,2026-04-05,카페/디저트,2600,식비,카페/디저트,M본인,
4월,2026-04-06,카페/디저트,1100,식비,카페/디저트,M본인,
4월,2026-04-06,카페/디저트,5000,식비,카페/디저트,M본인,
4월,2026-04-06,생필품/소모품,14000,생활용품,생필품/소모품,M가족,
4월,2026-04-06,생필품/소모품,5600,생활용품,생필품/소모품,M가족,
4월,2026-04-06,전기세,41020,고정지출,전기세,M본인,
4월,2026-04-07,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-09,생필품/소모품,10070,생활용품,생필품/소모품,M본인,
4월,2026-04-09,⚠️확인필요,38497,⚠️확인필요,,M가족,
4월,2026-04-09,생필품/소모품,18550,생활용품,생필품/소모품,M본인,
4월,2026-04-09,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-10,카페/디저트,3600,식비,카페/디저트,M가족,
4월,2026-04-10,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-10,⚠️확인필요,70800,⚠️확인필요,,M가족,
4월,2026-04-11,식재료(온라인),55062,식비,식재료(온라인),M가족,
4월,2026-04-11,생필품/소모품,16500,생활용품,생필품/소모품,M가족,
4월,2026-04-12,카페/디저트,21500,식비,카페/디저트,M가족,
4월,2026-04-12,책,38800,자기계발,책,M가족,
4월,2026-04-13,대중교통,30000,교통비,대중교통,M가족,
4월,2026-04-13,병원,6600,건강,병원,M본인,
4월,2026-04-13,카페/디저트,2800,식비,카페/디저트,M본인,
4월,2026-04-13,생필품/소모품,37900,생활용품,생필품/소모품,M가족,
4월,2026-04-13,통신(브),11890,고정지출,통신(브),M본인,
4월,2026-04-14,카페/디저트,11300,식비,카페/디저트,M가족,
4월,2026-04-14,식재료(오프),9500,식비,식재료(오프),M가족,
4월,2026-04-14,카페/디저트,3100,식비,카페/디저트,M본인,
4월,2026-04-14,카페/디저트,3000,식비,카페/디저트,M본인,
4월,2026-04-14,식재료(오프),3000,식비,식재료(오프),M본인,
4월,2026-04-15,카페/디저트,4500,식비,카페/디저트,M본인,
4월,2026-04-15,카페/디저트,12100,식비,카페/디저트,M가족,
4월,2026-04-16,생필품/소모품,27260,생활용품,생필품/소모품,M본인,
4월,2026-04-16,책,18800,자기계발,책,M가족,
4월,2026-04-16,외식(가족),17500,식비,외식(가족),M본인,
4월,2026-04-16,⚠️확인필요,8000,⚠️확인필요,,M본인,
4월,2026-04-16,⚠️확인필요,7500,⚠️확인필요,,M본인,
4월,2026-04-16,외식(가족),10000,식비,외식(가족),M가족,
4월,2026-04-17,식재료(온라인),41352,식비,식재료(온라인),M가족,
4월,2026-04-18,카페/디저트,2900,식비,카페/디저트,M가족,
4월,2026-04-18,식재료(오프),6900,식비,식재료(오프),M본인,
4월,2026-04-19,카페/디저트,6500,식비,카페/디저트,M본인,
4월,2026-04-19,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-19,카페/디저트,500,식비,카페/디저트,M본인,
4월,2026-04-19,식재료(온라인),38277,식비,식재료(온라인),M가족,
4월,2026-04-19,카페/디저트,27000,식비,카페/디저트,M본인,
4월,2026-04-19,주차비,3500,교통비,주차비,M본인,
4월,2026-04-20,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-20,카페/디저트,2500,식비,카페/디저트,M본인,
4월,2026-04-20,⚠️확인필요,7900,⚠️확인필요,,M가족,
4월,2026-04-20,외식(가족),2000,식비,외식(가족),M가족,
4월,2026-04-20,인터넷(용산),36900,고정지출,인터넷(용산),M본인,
4월,2026-04-20,인터넷,23100,고정지출,인터넷,M본인,
4월,2026-04-20,통신(브),26590,고정지출,통신(브),M본인,
4월,2026-04-21,카페/디저트,4500,식비,카페/디저트,M본인,
4월,2026-04-21,카페/디저트,18600,식비,카페/디저트,M가족,
4월,2026-04-22,카페/디저트,3500,식비,카페/디저트,M가족,
4월,2026-04-22,식재료(오프),9580,식비,식재료(오프),M본인,
4월,2026-04-22,카페/디저트,3000,식비,카페/디저트,M본인,
4월,2026-04-22,식재료(온라인),55026,식비,식재료(온라인),M가족,
4월,2026-04-22,카페/디저트,4300,식비,카페/디저트,M본인,
4월,2026-04-23,주유비,106697,교통비,주유비,M본인,
4월,2026-04-23,주유비,4000,교통비,주유비,M본인,
4월,2026-04-23,카페/디저트,2900,식비,카페/디저트,M본인,
4월,2026-04-23,보험(주택화재),16000,고정지출,보험(주택화재),M본인,
4월,2026-04-24,멤버십,4900,구독,멤버십,M가족,
4월,2026-04-24,대중교통,30000,교통비,대중교통,M가족,
4월,2026-04-24,선물,62700,생활용품,생필품/소모품,M본인,
